"Time (s)","Illuminance (lx)"
1.490873100E-2,4.400000000E1
8.729783000E-2,4.600000000E1
1.870292750E-1,4.800000000E1
2.868522730E-1,4.900000000E1
3.866447530E-1,5.100000000E1
5.863823020E-1,5.200000000E1
9.856437770E-1,5.100000000E1
1.185167703E0,5.000000000E1
1.284868630E0,4.900000000E1
1.384722146E0,4.800000000E1
1.484484109E0,4.600000000E1
1.584307107E0,4.500000000E1
1.684099587E0,4.400000000E1
1.783953103E0,4.300000000E1
3.763506326E0,4.400000000E1
3.863390359E0,4.500000000E1
3.963274392E0,4.700000000E1
4.063188943E0,4.800000000E1
4.162981423E0,5.000000000E1
4.462572488E0,5.100000000E1
5.061388406E0,5.000000000E1
5.660326394E0,5.100000000E1
5.760210427E0,5.200000000E1
5.959886941E0,5.300000000E1
6.059648904E0,5.400000000E1
6.159563455E0,5.500000000E1
6.758623513E0,5.400000000E1
6.858385476E0,5.300000000E1
6.958300027E0,5.200000000E1
7.257830056E0,5.100000000E1
7.657335671E0,5.200000000E1
7.857134255E0,5.100000000E1
8.356462869E0,5.000000000E1
1.025343552E1,5.100000000E1
1.045317307E1,5.200000000E1
1.105220262E1,5.100000000E1
1.185096970E1,5.200000000E1
1.254997483E1,5.100000000E1
1.264976731E1,5.000000000E1
1.284953538E1,4.900000000E1
1.324882737E1,5.000000000E1
1.354844895E1,5.100000000E1
1.384811989E1,5.200000000E1
1.394800392E1,5.100000000E1
1.424759498E1,5.200000000E1
1.464703956E1,5.100000000E1
1.504633156E1,5.000000000E1
1.544568458E1,5.100000000E1
1.564545265E1,5.200000000E1
1.604480568E1,5.100000000E1
1.624451271E1,5.000000000E1
1.694360939E1,5.100000000E1
1.704349342E1,5.200000000E1
1.744296852E1,5.300000000E1
1.774252907E1,5.200000000E1
1.814203468E1,5.100000000E1
1.844165626E1,5.200000000E1
1.864154640E1,5.300000000E1
1.944058815E1,5.200000000E1
2.003986183E1,5.100000000E1
2.083911720E1,5.200000000E1
2.263718239E1,5.100000000E1
2.333637062E1,5.200000000E1
2.343619362E1,5.300000000E1
2.623282448E1,5.200000000E1
2.753137794E1,5.300000000E1
2.763129249E1,5.400000000E1
2.793100563E1,5.500000000E1
2.823062721E1,5.400000000E1
2.853024879E1,5.300000000E1
2.873004738E1,5.200000000E1
3.022836891E1,5.300000000E1
3.202615944E1,5.200000000E1
3.212604347E1,5.100000000E1
3.222592750E1,5.000000000E1
3.232578102E1,4.800000000E1
3.242566505E1,4.700000000E1
3.252557960E1,4.600000000E1
3.292493263E1,4.500000000E1
3.538706032E1,4.600000000E1
3.548691383E1,4.700000000E1
3.558670631E1,4.800000000E1
3.568662086E1,5.000000000E1
3.578656593E1,5.100000000E1
3.588648048E1,5.200000000E1
3.748456398E1,5.100000000E1
3.818359962E1,5.200000000E1
3.848319069E1,5.300000000E1
3.868283668E1,5.400000000E1
3.888254372E1,5.500000000E1
3.918207374E1,5.400000000E1
3.958151832E1,5.500000000E1
3.968137184E1,5.600000000E1
3.998077980E1,5.400000000E1
4.008060280E1,5.100000000E1
4.018051735E1,5.200000000E1
4.047995582E1,5.500000000E1
4.057983986E1,6.200000000E1
4.067978493E1,7.000000000E1
4.077957741E1,7.500000000E1
4.087936989E1,7.800000000E1
4.097928444E1,7.900000000E1
4.107922951E1,8.100000000E1
4.117920509E1,8.300000000E1
4.127915016E1,8.500000000E1
4.139899269E1,8.700000000E1
4.149887672E1,9.000000000E1
4.159873024E1,9.500000000E1
4.171860328E1,1.060000000E2
4.181839577E1,1.260000000E2
4.191818825E1,1.590000000E2
4.201807228E1,2.050000000E2
4.211795631E1,2.560000000E2
4.221793190E1,3.690000000E2
4.231769386E1,3.630000000E2
4.241754738E1,3.580000000E2
4.251746193E1,3.520000000E2
4.261731544E1,3.470000000E2
4.271701637E1,3.420000000E2
4.281690040E1,3.400000000E2
4.291678444E1,3.390000000E2
4.301669899E1,3.350000000E2
4.331644264E1,3.390000000E2
4.341632667E1,3.450000000E2
4.351627174E1,3.490000000E2
4.361612526E1,3.510000000E2
4.459514356E1,3.480000000E2
4.469502759E1,3.300000000E2
4.479491162E1,3.310000000E2
4.489482618E1,3.330000000E2
4.499477124E1,3.470000000E2
4.509474683E1,3.630000000E2
4.519456983E1,3.860000000E2
4.529442334E1,4.270000000E2
4.539439893E1,4.340000000E2
4.569417310E1,4.280000000E2
4.579405713E1,4.110000000E2
4.589384961E1,3.870000000E2
4.599382520E1,3.640000000E2
4.609373975E1,3.440000000E2
4.617668653E1,3.300000000E2
4.627660108E1,3.220000000E2
4.637648511E1,3.200000000E2
4.667616773E1,3.210000000E2
4.677611280E1,3.220000000E2
4.687605786E1,3.230000000E2
4.697591138E1,3.240000000E2
4.707576490E1,3.250000000E2
4.717574048E1,3.260000000E2
4.727571607E1,3.270000000E2
4.777531934E1,3.260000000E2
4.787514234E1,3.250000000E2
4.837468457E1,3.260000000E2
4.847462964E1,3.270000000E2
4.857454419E1,3.280000000E2
4.877434278E1,3.290000000E2
4.887416578E1,3.300000000E2
4.907399488E1,3.310000000E2
4.917397046E1,3.320000000E2
4.927385450E1,3.340000000E2
4.937379956E1,3.400000000E2
4.947362256E1,3.500000000E2
4.957356763E1,3.660000000E2
4.967348218E1,3.830000000E2
4.977327466E1,3.970000000E2
4.987312818E1,4.070000000E2
4.997307325E1,4.110000000E2
5.027296949E1,4.100000000E2
5.037279248E1,4.030000000E2
5.047267652E1,3.890000000E2
5.057259107E1,3.690000000E2
5.067253614E1,3.420000000E2
5.077238965E1,3.150000000E2
5.087221265E1,2.880000000E2
5.097212720E1,2.640000000E2
5.107195020E1,2.460000000E2
5.117177320E1,2.330000000E2
5.127168775E1,2.240000000E2
5.137157178E1,2.180000000E2
5.147148633E1,2.140000000E2
5.157140088E1,2.100000000E2
5.167128492E1,2.080000000E2
5.177113843E1,2.060000000E2
5.187102246E1,2.050000000E2
5.197096753E1,2.030000000E2
5.207082105E1,2.020000000E2
5.217073560E1,2.000000000E2
5.227065015E1,1.990000000E2
5.237047315E1,1.980000000E2
5.266997266E1,1.970000000E2
5.426808667E1,1.980000000E2
5.436800122E1,1.990000000E2
5.446785474E1,2.010000000E2
5.466768384E1,2.020000000E2
5.496730542E1,2.010000000E2
5.626549268E1,2.020000000E2
5.726411939E1,2.010000000E2
5.856248975E1,2.020000000E2
5.866246534E1,2.030000000E2
5.876237989E1,2.040000000E2
5.886235547E1,2.050000000E2
5.896223951E1,2.060000000E2
5.926192212E1,2.070000000E2
5.966151929E1,2.080000000E2
6.006099439E1,2.070000000E2
6.026082349E1,2.060000000E2
6.036073804E1,2.050000000E2
6.056050611E1,2.040000000E2
6.105986524E1,2.050000000E2
6.115971875E1,2.060000000E2
6.205879712E1,2.070000000E2
6.225853467E1,2.080000000E2
6.255827832E1,2.070000000E2
6.265816236E1,2.060000000E2
6.275807691E1,2.050000000E2
6.285796094E1,2.040000000E2
6.335735059E1,2.060000000E2
6.365700269E1,2.070000000E2
6.385698438E1,2.060000000E2
6.405678296E1,2.050000000E2
6.425664258E1,2.040000000E2
6.435655713E1,2.020000000E2
6.455638623E1,2.010000000E2
6.493913770E1,2.020000000E2
6.537852979E1,2.010000000E2
6.547847486E1,1.960000000E2
6.557835889E1,1.800000000E2
6.567833448E1,1.570000000E2
6.577812696E1,1.260000000E2
6.587801099E1,9.300000000E1
6.597795606E1,7.100000000E1
6.607790113E1,5.800000000E1
6.617772412E1,5.400000000E1
6.647737622E1,5.500000000E1
6.657735181E1,5.600000000E1
6.667726636E1,5.700000000E1
6.677715039E1,5.800000000E1
6.687694287E1,5.900000000E1
6.707689405E1,6.000000000E1
6.837514234E1,6.100000000E1
6.877464795E1,6.000000000E1
7.117128492E1,6.100000000E1
7.137111402E1,6.200000000E1
7.147099805E1,6.300000000E1
7.157091260E1,6.400000000E1
7.237001538E1,6.700000000E1
7.248985791E1,7.400000000E1
7.258980298E1,8.400000000E1
7.268968702E1,1.020000000E2
7.278954053E1,1.220000000E2
7.288942456E1,1.440000000E2
7.298921704E1,1.700000000E2
7.308910108E1,1.920000000E2
7.318898511E1,2.120000000E2
7.328896070E1,2.650000000E2
7.338890576E1,2.680000000E2
7.348888135E1,2.750000000E2
7.358876538E1,2.820000000E2
7.368871045E1,2.880000000E2
7.378847242E1,2.950000000E2
7.388835645E1,3.000000000E2
7.398830152E1,3.050000000E2
7.408818555E1,3.190000000E2
7.418810010E1,3.270000000E2
7.428798413E1,3.340000000E2
7.438789869E1,3.380000000E2
7.448787427E1,3.400000000E2
7.500703931E1,3.370000000E2
7.530666089E1,3.390000000E2
7.540651441E1,3.450000000E2
7.550639844E1,3.560000000E2
7.560619092E1,3.720000000E2
7.570592237E1,3.840000000E2
7.580574536E1,3.940000000E2
7.590569043E1,4.030000000E2
7.600551343E1,4.090000000E2
7.610533643E1,4.170000000E2
7.618828321E1,4.260000000E2
7.628816724E1,4.340000000E2
7.638808179E1,4.420000000E2
7.648790479E1,4.470000000E2
7.658778882E1,4.480000000E2
7.688728833E1,4.470000000E2
7.698714185E1,4.450000000E2
7.708696485E1,4.430000000E2
7.718697095E1,4.420000000E2
7.758658308E1,4.410000000E2
7.788617415E1,4.400000000E2
7.798602766E1,4.390000000E2
7.808588118E1,4.380000000E2
7.848544783E1,4.400000000E2
7.868530745E1,4.410000000E2
7.898514265E1,4.400000000E2
7.948428816E1,4.410000000E2
7.958426375E1,4.420000000E2
8.058301253E1,4.430000000E2
8.068292708E1,4.440000000E2
8.078275008E1,4.450000000E2
8.088269514E1,4.460000000E2
8.098267073E1,4.480000000E2
8.108258528E1,4.490000000E2
8.118256087E1,4.510000000E2
8.128244490E1,4.520000000E2
8.138232893E1,4.530000000E2
8.148218245E1,4.540000000E2
8.158203596E1,4.560000000E2
8.168201155E1,4.570000000E2
8.178192610E1,4.580000000E2
8.188181013E1,4.590000000E2
8.208160872E1,4.600000000E2
8.218158430E1,4.610000000E2
8.228143782E1,4.620000000E2
8.238144392E1,4.640000000E2
8.248138899E1,4.650000000E2
8.258130354E1,4.660000000E2
8.268109602E1,4.670000000E2
8.318045515E1,4.650000000E2
8.328033919E1,4.620000000E2
8.338010115E1,4.600000000E2
8.347995467E1,4.570000000E2
8.357980818E1,4.550000000E2
8.367972273E1,4.530000000E2
8.377966780E1,4.510000000E2
8.387952132E1,4.480000000E2
8.397937483E1,4.470000000E2
8.407913679E1,4.440000000E2
8.417905134E1,4.390000000E2
8.427890486E1,4.290000000E2
8.439874739E1,4.030000000E2
8.449875349E1,3.600000000E2
8.459863753E1,3.040000000E2
8.471841902E1,2.370000000E2
8.481836409E1,1.790000000E2
8.491827864E1,1.360000000E2
8.501807112E1,1.060000000E2
8.511798567E1,8.800000000E1
8.521783919E1,7.500000000E1
8.531775374E1,6.500000000E1
8.541760725E1,5.900000000E1
8.551746077E1,5.800000000E1
8.581696028E1,6.000000000E1
8.591684431E1,6.300000000E1
8.601681990E1,6.500000000E1
8.611676497E1,6.600000000E1
8.641650862E1,6.500000000E1
8.661624617E1,6.400000000E1
8.681592268E1,6.300000000E1
8.721542830E1,6.400000000E1
8.731522078E1,6.500000000E1
8.741504378E1,6.600000000E1
8.751489729E1,6.700000000E1
8.761484236E1,6.800000000E1
8.771463484E1,6.900000000E1
8.781448836E1,7.000000000E1
8.791440291E1,7.200000000E1
8.801428694E1,7.300000000E1
8.811407942E1,7.500000000E1
8.831381697E1,7.600000000E1
9.031128401E1,7.500000000E1
9.041119856E1,7.400000000E1
9.051099104E1,7.300000000E1
9.091025252E1,7.400000000E1
9.099322981E1,7.500000000E1
9.109311384E1,7.600000000E1
9.448779768E1,7.500000000E1
9.458768172E1,7.400000000E1
9.468750471E1,7.300000000E1
9.508701033E1,7.600000000E1
9.520685286E1,8.200000000E1
9.530661482E1,9.200000000E1
9.540646834E1,1.060000000E2
9.550638289E1,1.230000000E2
9.560632796E1,1.410000000E2
9.570624251E1,1.600000000E2
9.580603499E1,1.780000000E2
9.590594954E1,1.930000000E2
9.600586409E1,2.060000000E2
9.610583968E1,2.600000000E2
9.620572371E1,2.710000000E2
9.630560774E1,2.810000000E2
9.640546126E1,2.920000000E2
9.650540633E1,3.040000000E2
9.662530989E1,3.120000000E2
9.672516340E1,3.200000000E2
9.682504744E1,3.290000000E2
9.692490095E1,3.500000000E2
9.702484602E1,3.650000000E2
9.712479109E1,3.770000000E2
9.722470564E1,3.920000000E2
9.732455916E1,4.030000000E2
9.742441267E1,4.100000000E2
9.752432722E1,4.150000000E2
9.762424177E1,4.180000000E2
9.772415633E1,4.200000000E2
9.782407088E1,4.220000000E2
9.792395491E1,4.240000000E2
9.812372298E1,4.250000000E2
9.842343611E1,4.280000000E2
9.852328963E1,4.340000000E2
9.862326521E1,4.470000000E2
9.872311873E1,4.720000000E2
9.882291121E1,5.050000000E2
9.892276472E1,5.450000000E2
9.904263777E1,5.860000000E2
9.914255232E1,6.230000000E2
9.924243635E1,6.570000000E2
9.934235090E1,6.880000000E2
9.944226546E1,7.170000000E2
9.954224104E1,7.410000000E2
9.964218611E1,7.570000000E2
9.974207014E1,7.660000000E2
9.984189314E1,7.700000000E2
1.002416429E2,7.690000000E2
1.006412706E2,7.730000000E2
1.007412157E2,7.780000000E2
1.008410997E2,7.840000000E2
1.009410448E2,7.880000000E2
1.012406358E2,7.870000000E2
1.013406114E2,7.860000000E2
1.014405565E2,7.840000000E2
1.015403795E2,7.830000000E2
1.016402635E2,7.800000000E2
1.017401781E2,7.750000000E2
1.018400926E2,7.680000000E2
1.019399461E2,7.610000000E2
1.020397996E2,7.550000000E2
1.021397142E2,7.520000000E2
1.022395982E2,7.510000000E2
1.023395433E2,7.500000000E2
1.024394273E2,7.490000000E2
1.025392808E2,7.480000000E2
1.026391038E2,7.460000000E2
1.027389879E2,7.420000000E2
1.028389329E2,7.380000000E2
1.029387559E2,7.350000000E2
1.030386095E2,7.310000000E2
1.031384935E2,7.300000000E2
1.032384386E2,7.290000000E2
1.033383226E2,7.280000000E2
1.036379747E2,7.290000000E2
1.037379198E2,7.310000000E2
1.038378038E2,7.320000000E2
1.040374498E2,7.330000000E2
1.044368028E2,7.340000000E2
1.045367479E2,7.360000000E2
1.046366624E2,7.380000000E2
1.047364549E2,7.410000000E2
1.048363389E2,7.440000000E2
1.049361925E2,7.450000000E2
1.052357835E2,7.460000000E2
1.056352281E2,7.470000000E2
1.057351427E2,7.490000000E2
1.058350267E2,7.500000000E2
1.061345872E2,7.470000000E2
1.062344713E2,7.440000000E2
1.063343553E2,7.390000000E2
1.064343309E2,7.340000000E2
1.065341844E2,7.300000000E2
1.066340379E2,7.270000000E2
1.067339830E2,7.240000000E2
1.068337755E2,7.210000000E2
1.069336290E2,7.170000000E2
1.070334825E2,7.120000000E2
1.071333970E2,7.080000000E2
1.072332811E2,7.040000000E2
1.073331956E2,7.010000000E2
1.074331102E2,7.000000000E2
1.078326463E2,7.010000000E2
1.079325609E2,7.030000000E2
1.080325365E2,7.060000000E2
1.081324205E2,7.090000000E2
1.082322435E2,7.150000000E2
1.083321580E2,7.190000000E2
1.084320726E2,7.240000000E2
1.085319871E2,7.280000000E2
1.086318407E2,7.300000000E2
1.089314928E2,7.290000000E2
1.090314073E2,7.250000000E2
1.091312303E2,7.170000000E2
1.092310533E2,7.090000000E2
1.093309373E2,7.030000000E2
1.094308824E2,7.000000000E2
1.095307054E2,6.980000000E2
1.097305040E2,6.970000000E2
1.098303575E2,6.950000000E2
1.099302720E2,6.940000000E2
1.100302220E2,6.930000000E2
1.101300755E2,6.910000000E2
1.102299595E2,6.870000000E2
1.103299046E2,6.820000000E2
1.104297886E2,6.760000000E2
1.105296421E2,6.710000000E2
1.106294651E2,6.670000000E2
1.107293797E2,6.640000000E2
1.108292942E2,6.600000000E2
1.109292698E2,6.530000000E2
1.110291233E2,6.470000000E2
1.111290684E2,6.420000000E2
1.112289219E2,6.380000000E2
1.113288059E2,6.370000000E2
1.123276463E2,6.340000000E2
1.124475498E2,6.250000000E2
1.125674534E2,6.020000000E2
1.126872349E2,5.570000000E2
1.127870579E2,4.830000000E2
1.128870335E2,3.880000000E2
1.129869786E2,2.820000000E2
1.130868016E2,1.890000000E2
1.131867161E2,1.230000000E2
1.132866001E2,8.800000000E1
1.133866062E2,7.600000000E1
1.134864903E2,7.500000000E1
1.138859959E2,7.600000000E1
1.141855870E2,7.500000000E1
1.143854466E2,7.400000000E1
1.144853001E2,7.300000000E1
1.145851841E2,7.200000000E1
1.216749058E2,7.100000000E1
1.218746128E2,7.000000000E1
1.219745274E2,6.900000000E1
1.220742283E2,6.800000000E1
1.223739109E2,6.700000000E1
1.225735874E2,6.600000000E1
1.226735020E2,6.400000000E1
1.227734471E2,6.300000000E1
1.228563633E2,6.200000000E1
1.229561863E2,6.100000000E1
1.232558689E2,6.000000000E1
